SIMPLE,BITPIX,NAXIS,EXTEND,TEFF,LOGG,RADIUS,MASS,LSTAR,ALPHA,K,DELTA,QBAR,ZHE,HE,SI,MDOT,VINF,DMOM,LOGQ,HOPF_1,HOPF_2,HOPF_3,VROT,OMEGA,VESC,SIGMA_E,MUE,GAMMA,C_SOUND,U_CRIT,R_CRIT,W_CRIT,V_CRIT,DW_CRIT,RHO_CRIT,Z_CRIT,Y_CRIT,V_EIGEN,RHO_WIND,VMICRO,MDOTE-6,LOGMDOT,LOGLSTAR
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.51,0.1,0.35,42.13,2.0,0.1,7.21,6.0091537e-09,427.02352,57109999999999997823156224.000000,-13.81,1.0,0.42,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.06238,16.03,19.22,387.9,23.68,0.000388,0.8117,455.1,87.67,0.09051,20.0,0.0060091536999999995,-8.22118668761462,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.51,0.1,0.35,42.13,2.0,0.1,7.21,6.0091537e-09,427.02352,57109999999999997823156224.000000,-13.81,1.0,0.42,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.06238,16.03,19.22,387.9,23.68,0.000388,0.8117,455.1,87.67,0.09051,25.0,0.0060091536999999995,-8.22118668761462,5.055378331375
True,8,0,True,30000.0,3.6,9.852,14.1,70920.0,0.45,0.15,0.31,25.6,2.0,0.1,7.36,3.288843e-10,421.77854,2743999999999999949668352.000000,-14.91,1.0,0.42,3.4,0.0,0.0,688.7,0.3413,0.6087,0.1313,20.18,-0.06438,15.53,18.98,383.1,22.77,3.7e-05,0.8338,432.1,127.2,0.008034,1.0,0.0003288843,-9.482956858004451,4.85076872692888
True,8,0,True,30000.0,3.6,9.852,14.1,70920.0,0.45,0.15,0.31,25.6,2.0,0.1,7.36,3.288843e-10,421.77854,2743999999999999949668352.000000,-14.91,1.0,0.42,3.4,0.0,0.0,688.7,0.3413,0.6087,0.1313,20.18,-0.06438,15.53,18.98,383.1,22.77,3.7e-05,0.8338,432.1,127.2,0.008034,5.0,0.0003288843,-9.482956858004451,4.85076872692888
True,8,0,True,30000.0,3.6,9.852,14.1,70920.0,0.45,0.15,0.31,25.6,2.0,0.1,7.36,3.288843e-10,421.77854,2743999999999999949668352.000000,-14.91,1.0,0.42,3.4,0.0,0.0,688.7,0.3413,0.6087,0.1313,20.18,-0.06438,15.53,18.98,383.1,22.77,3.7e-05,0.8338,432.1,127.2,0.008034,10.0,0.0003288843,-9.482956858004451,4.85076872692888
True,8,0,True,30000.0,3.6,9.852,14.1,70920.0,0.45,0.15,0.31,25.6,2.0,0.1,7.36,3.288843e-10,421.77854,2743999999999999949668352.000000,-14.91,1.0,0.42,3.4,0.0,0.0,688.7,0.3413,0.6087,0.1313,20.18,-0.06438,15.53,18.98,383.1,22.77,3.7e-05,0.8338,432.1,127.2,0.008034,15.0,0.0003288843,-9.482956858004451,4.85076872692888
True,8,0,True,30000.0,3.6,9.852,14.1,70920.0,0.45,0.15,0.31,25.6,2.0,0.1,7.36,3.288843e-10,421.77854,2743999999999999949668352.000000,-14.91,1.0,0.42,3.4,0.0,0.0,688.7,0.3413,0.6087,0.1313,20.18,-0.06438,15.53,18.98,383.1,22.77,3.7e-05,0.8338,432.1,127.2,0.008034,20.0,0.0003288843,-9.482956858004451,4.85076872692888
True,8,0,True,30000.0,3.6,9.852,14.1,70920.0,0.45,0.15,0.31,25.6,2.0,0.1,7.36,3.288843e-10,421.77854,2743999999999999949668352.000000,-14.91,1.0,0.42,3.4,0.0,0.0,688.7,0.3413,0.6087,0.1313,20.18,-0.06438,15.53,18.98,383.1,22.77,3.7e-05,0.8338,432.1,127.2,0.008034,25.0,0.0003288843,-9.482956858004451,4.85076872692888
True,8,0,True,30000.0,3.15,19.9721,20.56,291500.0,0.51,0.05,0.33,10.24,2.0,0.1,7.81,1.0696543e-08,352.88436,106299999999999993331056640.000000,-13.74,0.94,0.44,5.26,0.0,0.0,497.3,0.3413,0.6087,0.3702,20.18,-0.08534,11.72,15.33,309.3,17.69,0.000631,0.8665,271.1,60.88,0.07599,1.0,0.010696543,-7.970756558633326,5.464638559095033
True,8,0,True,30000.0,3.15,19.9721,20.56,291500.0,0.51,0.05,0.33,10.24,2.0,0.1,7.81,1.0696543e-08,352.88436,106299999999999993331056640.000000,-13.74,0.94,0.44,5.26,0.0,0.0,497.3,0.3413,0.6087,0.3702,20.18,-0.08534,11.72,15.33,309.3,17.69,0.000631,0.8665,271.1,60.88,0.07599,5.0,0.010696543,-7.970756558633326,5.464638559095033
True,8,0,True,30000.0,3.15,19.9721,20.56,291500.0,0.51,0.05,0.33,10.24,2.0,0.1,7.81,1.0696543e-08,352.88436,106299999999999993331056640.000000,-13.74,0.94,0.44,5.26,0.0,0.0,497.3,0.3413,0.6087,0.3702,20.18,-0.08534,11.72,15.33,309.3,17.69,0.000631,0.8665,271.1,60.88,0.07599,10.0,0.010696543,-7.970756558633326,5.464638559095033
True,8,0,True,30000.0,3.15,19.9721,20.56,291500.0,0.51,0.05,0.33,10.24,2.0,0.1,7.81,1.0696543e-08,352.88436,106299999999999993331056640.000000,-13.74,0.94,0.44,5.26,0.0,0.0,497.3,0.3413,0.6087,0.3702,20.18,-0.08534,11.72,15.33,309.3,17.69,0.000631,0.8665,271.1,60.88,0.07599,15.0,0.010696543,-7.970756558633326,5.464638559095033
True,8,0,True,30000.0,3.15,19.9721,20.56,291500.0,0.51,0.05,0.33,10.24,2.0,0.1,7.81,1.0696543e-08,352.88436,106299999999999993331056640.000000,-13.74,0.94,0.44,5.26,0.0,0.0,497.3,0.3413,0.6087,0.3702,20.18,-0.08534,11.72,15.33,309.3,17.69,0.000631,0.8665,271.1,60.88,0.07599,20.0,0.010696543,-7.970756558633326,5.464638559095033
